First Name,Last Name,Gender,Job,Blood status,Valor
Marge,Dursley,Female,Dog breeder,MuggleBorn,Nerve
Justin,Finch-Fletchley,Male,Student,MuggleBorn,Bravery
Hermione,Granger,Female,Student,MuggleBorn,Patience
Lily,Potter,Female,N/A,MuggleBorn,Intelligence
Zacharias,Smith,Male,Student,MuggleBorn,Wisdom
Dean,Thomas,Male,Student,MuggleBorn,Nerve
Myrtle,Warren,Female,Student,MuggleBorn,Intelligence
Terry,Boot,Male,Student,MuggleBorn,Bravery
Lavender,Brown,Female,Student,MuggleBorn,Courage
Sirius,Black,Male,N/A,PureBlood,Ambitious
Regulus,Black,Male,N/A,PureBlood,Just
Oliver,Wood,Male,Student,MuggleBorn,Ambitious
Romilda,Vane,Female,Student,MuggleBorn,Courage
Charity,Burbage,Female,Professor of Muggle Studies,PureBlood,Courage
Marcus,Belby,Male,Student,MuggleBorn,Wisdom
Katie,Bell,Female,Student,MuggleBorn,Wisdom
Barty,Crouch,Male,Professor of Defence Against the Dark Arts (as Alastor Moody) ,PureBlood,Ambitious
Barty,Crouch Sr.,Male,Head of the Department of International Magical Cooperation,PureBlood,Courage
Fleur,Delacour,Female,Part-time at Gringotts Wizarding Bank,PureBlood,Intelligence
Gabrielle,Delacour,Female,N/A,PureBlood,Patience
Dedalus,Diggle,Male,N/A,PureBlood,Nerve
Cho,Chang,Female,Student,PureBlood,Bravery
Amos,Diggory,Male,Employee of the Department for the Regulation and Control of Magical Creatures[,PureBlood,Bravery
Dobby,Dobby,Male,"Malfoy family's house-elf (? - 1993),
Hogwarts kitchens worker (December 1994 - 1998)",PureBlood,Ambitious
Elphias,Doge,Male,Special Advisor to the Wizengamot,PureBlood,Wisdom
Benjy,Fenwick,Male,N/A,PureBlood,Courage
Argus,Filch,Male,Caretaker of Hogwarts,PureBlood,Wisdom
Firenze,Firenze,Male,Professor of Divination,PureBlood,Just
Filius,Flitwick,Male,Professor of Charms | Head of Ravenclaw,PureBlood,Bravery
Fat,Friar,Male,Hufflepuff House Ghost,PureBlood,Courage
Cornelius,Fudge,Male,Minister for Magic,PureBlood,Courage
Vincent,Crabbe,Male,Student,PureBlood,Bravery
Fenrir,Greyback,Male,N/A,PureBlood,Intelligence
Gellert,Grindelwald,Male,Revolutionary leader(c. 1920s[6] – 1945),PureBlood,Nerve
Wilhelmina,Grubbly-Plank,Female,Substitute professor of Care of Magical Creatures at Hogwarts,PureBlood,Ambitious
Rolanda,Hooch,Female,Flying Instructor at Hogwarts,PureBlood,Patience
Cedric,Diggory,Male,Student,PureBlood,Ambitious
Kreacher,Kreacher,Male,"
Black family's house-elf (?-1996), 
Harry Potter's house-elf, 
Hogwarts kitchen worker ",PureBlood,Courage
Viktor,Krum,Male,Seeker for the Bulgarian National Quidditch team,PureBlood,Intelligence
Bellatrix,Lestrange,Female,N/A,PureBlood,Intelligence
Rodolphus,Lestrange,Male,N/A,PureBlood,Courage
Gregory,Goyle,Male,Student,PureBlood,Patience
Alice,Longbottom,Female,Auror,PureBlood,Wisdom
Frank,Longbottom,Male,Auror,PureBlood,Just
Lee,Jordan ,Male,Student,PureBlood,Bravery
Neville,Longbottom,Male,Student,PureBlood,Courage
Lucius,Malfoy,Male,School Governor,PureBlood,Nerve
Narcissa,Malfoy,Female,N/A,PureBlood,Patience
Ernest,Macmillan,Male,Student,PureBlood,Just
Olympe,Maxime,Female,Headmistress of Beauxbatons Academy of Magic,PureBlood,Nerve
Marlene,McKinnon,Female,N/A,PureBlood,Intelligence
Draco,Malfoy,Male,Student,PureBlood,Wisdom
Dorcas,Meadowes,Female,N/A,PureBlood,Wisdom
Alastor,Moody,Male,Auror ,PureBlood,Bravery
Scorpius,Malfoy,Male,Student,PureBlood,Courage
Cormac,McLaggen,Male,Student,PureBlood,Bravery
Irma,Pince,Female,Librarian at Hogwarts,PureBlood,Ambitious
Sturgis,Podmore,Male,Advance Guard,PureBlood,Patience
Poppy,Pomfrey,Female,Matron at Hogwarts School,PureBlood,Nerve
James,Potter,Male,N/A,PureBlood,Wisdom
Fabian,Prewett,Male,N/A,PureBlood,Courage
Gideon,Prewett,Male,N/A,PureBlood,Courage
Rowena,Ravenclaw,Female,Founder of Ravenclaw,PureBlood,Ambitious
Augustus,Rookwood,Male,Unspeakable,PureBlood,Just
Rufus,Scrimgeour,Male,Head of Auror Office| Minister for Magic,PureBlood,Intelligence
Kingsley,Shacklebolt,Male,Auror  | Minister for Magic,PureBlood,Bravery
Aurora,Sinistra,Female,Astronomer at Hogwarts,PureBlood,Just
Salazar,Slytherin,Male,Founder of Slytherin,PureBlood,Patience
Theodore,Nott,Male,Student,MuggleBorn,Ambitious
Parvati,Patil,Female,Student,PureBlood,Just
Septima,Vector,Female,Professor of Arithmancyat Hogwarts,PureBlood,Patience
Alicia,Spinnet,Female,Student,PureBlood,Bravery
Ronald,Weasley,Male,Student,PureBlood,Bravery
Fred,Weasley,Male,Student,PureBlood,Ambitious
Molly,Weasley,Female,Mother of the Weasley familly,PureBlood,Just
Percy,Weasley,Male,Student|Prefect|  Personal assistant to Barty Crouch Snr ,PureBlood,Intelligence
Bill,Weasley,Male,Curse-Breaker for Gringotts Bank,PureBlood,Just
Charles,Weasley,Male,Dragonologist,PureBlood,Bravery
Molly,Weasley,Female,N/A,PureBlood,Wisdom
Arthur,Weasley,Male,Head of the Misuse of Muggle Artefacts Office,PureBlood,Bravery
George,Weasley,Male,Student,PureBlood,Just
Corban,Yaxley,Male,Head of the Department of Magical Law Enforcement,PureBlood,Courage
Blaise,Zabini,Male,Student,PureBlood,Courage
